"ID" "DTM" "P" "TMP"
"163003" 1961-04-21 0 11.4676034612706
"163003" 1961-04-22 0 11.16760422421
"163003" 1961-04-23 0 9.96760346127056
"163003" 1961-04-24 0 11.4676034612706
"163003" 1961-04-25 0 9.96760346127056
"163003" 1961-04-26 0.518453404785625 11.9676034612706
"163003" 1961-04-27 12.3391906383493 10.0676038427403
"163003" 1961-04-28 0 10.16760422421
"163003" 1961-04-29 0.103690682502237 12.16760422421
"163003" 1961-04-30 1.14059751525016 11.9676034612706
"163003" 1961-05-01 1.55536021435688 11.0676038427403
"163003" 1961-05-02 0.207381365004473 11.2676036520054
"163003" 1961-05-03 2.48857644185814 11.9676034612706
"163003" 1961-05-04 0 11.66760422421
"163003" 1961-05-05 0 15.8676040334752
"163003" 1961-05-06 0.414762730008947 13.5676038427403
